github.com/AlDanial/cloc v 2.06  T=3.14 s (527.8 files/s, 100190.2 lines/s)
--------------------------------------------------------------------------------------------------------------------------------------
File                                                                                               blank        comment           code
app/api/cron/stock-alerts/staff/route.ts                                                              48             22            392
app/api/staff/schedule/route.ts                                                                       58             67            389
components/dashboard/procurement/add-to-po-modal.tsx                                                  35             15            389
lib/test-utils/factories/invoice-factory.ts                                                           57             87            388
app/api/analytics/patients/route.ts                                                                   65             40            387
components/dashboard/commission-dashboard.tsx                                                         29             11            387
components/store/filters/filter-drawer.tsx                                                            26              6            386
components/ui/empty-state.tsx                                                                         22              1            386
lib/notifications/templates/index.ts                                                                  55             29            386
lib/signup/content-generator.ts                                                                       46             78            385
components/dashboard/suppliers/supplier-form.tsx                                                      38              0            384
components/dashboard/barcode-scanner.tsx                                                              40             12            382
components/dashboard/client-notes.tsx                                                                 18             14            382
components/consents/consent-pdf.tsx                                                                   16              0            381
components/dashboard/appointment-form.tsx                                                             34             16            381
lib/consent/preference-service.ts                                                                     53             62            380
components/landing/comparison-table.tsx                                                               15              0            379
app/api/webhooks/stripe/route.ts                                                                      69             61            378
components/hospital/hospital-dashboard.tsx                                                            30              3            378
app/api/inventory/import/preview/route.ts                                                             52             29            377
components/search/command-palette.tsx                                                                 32              9            377
lib/hooks/use-import-wizard.ts                                                                        60             45            377
lib/accessibility/checklist.ts                                                                        15             24            375
components/store/search-autocomplete.tsx                                                              31             11            368
components/dashboard/appointments/appointment-queue.tsx                                               36              8            366
components/pets/tabs/pet-history-tab.tsx                                                              24              3            365
components/dashboard/vaccine-registration-form.tsx                                                    38             15            363
components/ui/notification-banner.tsx                                                                 32              9            360
components/signup/signup-wizard.tsx                                                                   40             30            358
lib/hooks/use-dashboard-labels.tsx                                                                    12              4            358
app/[clinic]/cart/client.tsx                                                                          30              6            356
components/portal/subscriptions/subscription-card.tsx                                                 33              0            356
app/funcionalidades/page.tsx                                                                          10              0            354
components/dashboard/inventory/barcode-scanner.tsx                                                    41             28            354
app/platform/settings/client.tsx                                                                      26              6            353
components/store/product-card.tsx                                                                     33             49            353
lib/logger.ts                                                                                         65            104            353
app/[clinic]/store/wishlist/page.tsx                                                                  31             10            351
components/pets/edit-pet-form.tsx                                                                     23              3            351
components/dashboard/inventory/stock-history-modal.tsx                                                29             10            350
components/messaging/new-conversation-dialog.tsx                                                      31              6            350
components/dashboard/waitlist/waitlist-manager.tsx                                                    28             10            349
components/cart/cart-drawer.tsx                                                                       27             22            348
lib/actions/MIGRATION_GUIDE.md                                                                       101              0            348
app/api/dashboard/inventory/route.ts                                                                  39             33            346
components/inventory/assign-product-modal.tsx                                                         25              3            346
components/analytics/store/tabs/InventoryTab.tsx                                                      15              9            343
components/dashboard/referral-dashboard.tsx                                                           28             17            343
lib/privacy/policy-service.ts                                                                         63             56            342
components/portal/invoice-actions.tsx                                                                 20              3            341
app/ambassador/payouts/page.tsx                                                                       32              3            339
lib/accessibility/types.ts                                                                            18             45            339
components/inventory/catalog-browser.tsx                                                              32             11            338
components/ui/COMPONENT_IMPROVEMENTS.md                                                              118              0            338
app/api/cron/billing/send-reminders/route.ts                                                          39             46            337
components/pets/tabs/pet-vaccines-tab.tsx                                                             25              3            337
lib/email/templates/appointment-reminder.ts                                                           36             11            337
lib/email/templates/invoice-email.ts                                                                  27             11            336
app/actions/safety.ts                                                                                 44             39            335
components/store/printable-receipt.tsx                                                                27             23            335
lib/excel/inventory-export.ts                                                                         51             32            335
app/[clinic]/dashboard/insurance/policies/page.tsx                                                    29              6            333
app/[clinic]/portal/rewards/client.tsx                                                                36              0            333
lib/email/README.md                                                                                   90              0            333
lib/export/config.ts                                                                                  24             21            332
lib/types/index.ts                                                                                    17             90            332
app/[clinic]/dashboard/settings/general/page.tsx                                                      14              3            331
components/ui/command-palette/ARCHITECTURE.md                                                         61              0            331
components/hospital/vitals-panel.tsx                                                                  26              0            330
components/dashboard/inventory/reorder-suggestions.tsx                                                28              8            329
components/dashboard/suppliers/supplier-detail.tsx                                                    21             11            328
app/api/cron/process-subscriptions/route.ts                                                           63             43            327
app/[clinic]/dashboard/hospital/[id]/page.tsx                                                         32              9            325
components/dashboard/client-invite-form.tsx                                                           26             11            324
app/[clinic]/reproductive_cycles/client.tsx                                                           21              4            323
lib/test-utils/component-test-helpers.tsx                                                             51            117            323
components/consents/blanket-consents/add-consent-modal.tsx                                            37              4            322
lib/constants/index.ts                                                                                63             94            322
lib/types/clinic-config/labels.ts                                                                     36             26            322
components/dashboard/dashboard-sidebar.tsx                                                            19              5            321
lib/email/templates/platform-invoice.ts                                                               30             12            321
app/[clinic]/dashboard/settings/branding/page.tsx                                                     22              2            320
app/api/store/orders/route.ts                                                                         44             25            320
lib/monitoring/slow-query.ts                                                                          59            114            320
lib/queries/store.ts                                                                                  27             46            320
lib/types/clinic-config/dashboard-labels.ts                                                           26             34            319
app/api/analytics/route.ts                                                                            52             48            318
app/api/billing/pay-invoice/route.ts                                                                  53             42            318
app/api/signup/route.ts                                                                               62             52            318
components/analytics/store/tabs/MarginsTab.tsx                                                        15              9            318
components/invoices/invoice-detail.tsx                                                                22              0            318
lib/export/job.ts                                                                                     73             69            318
lib/rate-limit.ts                                                                                     64            146            318
app/actions/invite-client.ts                                                                          50             21            317
lib/accessibility/audit-utils.ts                                                                      50             59            317
app/[clinic]/euthanasia_assessments/client.tsx                                                        31              4            316
lib/auth/api-wrapper.ts                                                                               59            120            316
lib/billing/types.ts                                                                                 106             99            316
components/seo/structured-data.tsx                                                                    30             12            314
app/api/store/subscriptions/route.ts                                                                  43             26            313
app/[clinic]/dashboard/clients/segments/page.tsx                                                      32             10            312
app/api/procurement/orders/[id]/route.ts                                                              45             38            312
components/calendar/calendar.tsx                                                                      31             28            312
app/api/store/products/[id]/route.ts                                                                  33             28            311
components/billing/invoice-list.tsx                                                                   25             13            311
components/privacy/policy-editor.tsx                                                                  29             13            311
app/faq/page.tsx                                                                                      11              1            310
components/landing/owner-journey.tsx                                                                  18              0            310
lib/notifications/service.ts                                                                          41             59            310
components/ui/skeleton.tsx                                                                            23              1            309
app/api/analytics/operations/route.ts                                                                 50             33            307
components/dashboard/appointments/schedule-appointment-modal.tsx                                      25              9            307
app/api/analytics/store/route.ts                                                                      40             11            306
lib/types/USAGE_EXAMPLES.md                                                                           90              0            306
components/consents/version-compare.tsx                                                               32              3            305
lib/config/loader.ts                                                                                  26             23            304
components/ambassador/ambassador-register-form.tsx                                                    30              6            303
components/clinical/growth-chart.tsx                                                                  34             33            303
components/dashboard/alerts-panel.tsx                                                                 32             14            302
components/portal/subscriptions/subscription-manager.tsx                                              26              2            302
components/whatsapp/template-manager.tsx                                                              31              0            301
lib/domain/appointments/service.ts                                                                    66             61            301
components/invoices/invoice-pdf.tsx                                                                   16              3            298
components/portal/waitlist-status.tsx                                                                 29              1            298
components/ui/tabs.tsx                                                                                36             19            297
lib/queries/appointments.ts                                                                           23             40            297
components/insurance/pre-auth-form.tsx                                                                31              3            295
lib/data/retention-job.ts                                                                             65             71            295
components/dashboard/bulk-messaging/index.tsx                                                         28             21            293
components/whatsapp/template-selector.tsx                                                             21              2            293
lib/queries/pets.ts                                                                                   24             40            293
app/api/consents/requests/route.ts                                                                    44             24            292
app/api/store/products/route.ts                                                                       36             23            292
app/[clinic]/dashboard/clients/invite/invite-form.tsx                                                 20              1            291
app/api/booking/route.ts                                                                              59             38            291
components/calendar/REFACTORING_SUMMARY.md                                                           106              0            290
lib/test-utils/EXAMPLES.md                                                                            89              0            290
app/[clinic]/dashboard/coupons/components/CouponFormModal.tsx                                         16              5            289
components/dashboard/suppliers/supplier-list.tsx                                                      27             10            289
app/api/claim/route.ts                                                                                45             49            288
app/api/store/cart/route.ts                                                                           63             61            288
components/landing/client-showcase.tsx                                                                18              0            288
components/landing/clinic-map.tsx                                                                     35             19            288
